tt_no,BeginUTC,EndUTC,ts_idx,ts_name,ts_type,temp_config,temp_config_source,TmaxValue,TminValue,TaveValue,MKTValue,TimeOverTmax,TimeOverTmaxC,TimeUnderTmin,TimeUnderTminC,pct_exposure_1,pct_exposure_2,pct_exposure_3,Info,LogInt,TagId,SessionId,viewable,last_read_loc,last_read_loc_name,origin_loc,origin_loc_name,EventType,EventUTC,has_alarm,start_trim_type,stop_trim_type,DataPoints,BatteryLevel,LastSLValue,sharing_override,co_idx,last_c_idx,plan_details,TmaxSetting,TminSetting,TstdSetting,TimeOverTmaxSetting,TimeOverTmaxSettingCont,TimeUnderTminSetting,TimeUnderTminSettingCont,Ea,InitSL,TmaxOvershoot,TminUndershoot,temptrip_no_1,temptrip_no_0,internal_route_id_0,batch_no_0,customer_no_0,customer_name_0,loader_name_0,driver_name_0,delivery_date_0,user_id_0,cumulative_exposure_pct_0,po_no_1,buyer_1,spclst_1,vendor_no_1,vendor_name_1,subvend_1,subvend_name_1,us_dot_1,carrier_name_1,driver_1,plan_no_1,plan_desc_1,rcv_temp_1,receiver_1,cumulative_exposure_pct_1,timestamp_0,timestamp_1,trailer_no_1,trailer_no_0,invoice_no_0,category_81_99,category_82_99,category_83_99,category_84_99,category_155_99,managed_by_1,category_164_99,category_165_99,category_166_99,category_167_99,category_168_99,category_176_99
6145-1-73-1,6/15/17 16:49,6/19/17 20:19,1193,Standard Retail,CONFIGS,1193,0,-50,-569,-398,-398,0,0,0,0,-9999,-9999,-9999,,900,38311,-793968729,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 17:27,0,tag,tag,398,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7020-1-22-1,1/22/17 20:11,1/26/17 10:41,1266,Standard Retail,CONFIGS,1266,0,-609,-2720,-2375,-2375,0,0,0,0,-9999,-9999,-9999,,900,55695,-780412888,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/21/16 21:51,0,tag,tag,346,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7175-1-52-1,12/19/16 08:15,12/19/16 20:00,1188,Standard Retail,CONFIGS,1188,0,100,-370,-169,-169,0,0,0,0,-9999,-9999,-9999,,900,61317,-779208880,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 17:40,0,tag,tag,47,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7393-1-71-1,12/2/16 11:56,12/3/16 13:56,1179,Standard Retail,CONFIGS,1179,0,490,-10,268,268,0,0,0,0,-9999,-9999,-9999,,900,46935,-777473016,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 21:17,0,tag,tag,104,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7710-1-26-1,10/3/16 12:29,10/4/16 14:44,1188,Standard Retail,CONFIGS,1188,0,359,-379,-141,-141,0,0,0,0,-9999,-9999,-9999,,900,31987,-772284514,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 18:04,0,tag,tag,105,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7853-1-28-1,9/11/16 23:17,9/12/16 09:02,1233,Standard Retail,CONFIGS,1233,0,129,-329,-212,-212,0,0,0,0,-9999,-9999,-9999,,900,34974,-770299741,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/24/16 17:30,0,tag,tag,39,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8129-1-14-1,8/18/16 03:00,8/21/16 19:00,1196,Standard Retail,CONFIGS,1196,0,430,-1800,-1287,-1287,0,0,0,0,-9999,-9999,-9999,,900,36198,-766663658,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/22/16 16:38,0,tag,tag,352,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8184-1-22-1,8/15/16 23:27,8/18/16 05:12,43,P-Outbound Plan,PLANS,1275,43,590,-170,-54,-54,35100,23400,144900,4500,21,-9999,-9999,,900,40553,-765892785,1,2167,#1389 - Leon,1115,PDI- Ankeny,3,3/28/16 15:47,0,tag,tag,215,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8294-1-28-2,7/29/16 02:21,7/30/16 13:21,43,P-Outbound Plan,PLANS,2261,43,1160,519,683,683,126000,0,0,0,3088,-9999,-9999,,900,70705,-764075041,1,2226,#1036 - Bethany,1115,PDI- Ankeny,3,3/28/16 13:43,1,tag,tag,140,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8294-1-28-1,7/25/16 05:02,7/26/16 16:02,2261,Standard Retail,CONFIGS,2261,0,1160,519,683,683,0,0,0,0,-9999,-9999,-9999,,900,70705,-764075042,1,1115,PDI- Ankeny,1115,PDI- Ankeny,4,3/28/16 00:39,0,tag,tag,140,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
